chemin ,class ,classe_LOC ,classe_CLOC ,classe_DC ,WMC ,classe_BC 
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/PaintSample.java,PaintSample,100,57,0.57,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/RectangleAnchor.java,RectangleAnchor,125,57,0.456,20,0.0228
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/RectangleEdge.java,RectangleEdge,111,69,0.6216216,11,0.056511056
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/RectangleInsets.java,RectangleInsets,494,241,0.48785424,30,0.016261809
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/Size2D.java,Size2D,149,85,0.5704698,6,0.0950783
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/StandardGradientPaintTransformer.java,StandardGradientPaintTransformer,158,79,0.5,11,0.045454547
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/StrokeChooserPanel.java,StrokeChooserPanel,83,53,0.6385542,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/StrokeSample.java,StrokeSample,146,74,0.5068493,4,0.12671232
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/TextAnchor.java,TextAnchor,161,110,0.6832298,8,0.085403726
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/UIUtils.java,UIUtils,181,96,0.53038675,10,0.053038675
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ui/VerticalAlignment.java,VerticalAlignment,44,38,0.8636364,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/CategoryURLGenerator.java,CategoryURLGenerator,73,67,0.91780823,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/CustomCategoryURLGenerator.java,CustomCategoryURLGenerator,179,91,0.5083799,15,0.03389199
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/CustomPieURLGenerator.java,CustomPieURLGenerator,209,115,0.5502392,14,0.0393028
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/CustomXYURLGenerator.java,CustomXYURLGenerator,193,104,0.5388601,14,0.038490005
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/PieURLGenerator.java,PieURLGenerator,64,59,0.921875,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/StandardCategoryURLGenerator.java,StandardCategoryURLGenerator,197,112,0.56852794,6,0.09475466
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/StandardPieURLGenerator.java,StandardPieURLGenerator,166,97,0.58433735,9,0.06492637
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/StandardXYURLGenerator.java,StandardXYURLGenerator,140,82,0.5857143,6,0.09761905
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/StandardXYZURLGenerator.java,StandardXYZURLGenerator,60,51,0.85,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/TimeSeriesURLGenerator.java,TimeSeriesURLGenerator,206,116,0.5631068,7,0.08044382
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/XYURLGenerator.java,XYURLGenerator,66,61,0.92424244,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/urls/XYZURLGenerator.java,XYZURLGenerator,61,56,0.91803277,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/AbstractObjectList.java,AbstractObjectList,244,123,0.50409836,18,0.028005464
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/Args.java,Args,86,64,0.74418604,8,0.093023255
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/ArrayUtils.java,ArrayUtils,188,82,0.43617022,21,0.02077001
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/AttrStringUtils.java,AttrStringUtils,298,117,0.39261746,19,0.020664077
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/BooleanList.java,BooleanList,90,67,0.74444443,2,0.37222221
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/CloneUtils.java,CloneUtils,133,69,0.518797,2,0.2593985
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/DefaultShadowGenerator.java,DefaultShadowGenerator,285,128,0.44912282,11,0.040829346
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/DirectionalGradientPaintTransformer.java,DirectionalGradientPaintTransformer,130,80,0.61538464,4,0.15384616
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/ExportUtils.java,ExportUtils,236,100,0.42372882,12,0.035310734
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/HMSNumberFormat.java,HMSNumberFormat,107,76,0.71028036,2,0.35514018
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/HexNumberFormat.java,HexNumberFormat,138,94,0.68115944,3,0.22705315
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/LineUtils.java,LineUtils,155,69,0.44516128,16,0.02782258
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/LogFormat.java,LogFormat,233,137,0.58798283,11,0.053452983
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/ObjectList.java,ObjectList,92,72,0.7826087,2,0.39130434
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/PaintAlpha.java,PaintAlpha,355,225,0.63380283,14,0.04527163
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/PaintList.java,PaintList,146,80,0.5479452,11,0.0498132
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/PaintUtils.java,PaintUtils,177,74,0.4180791,16,0.026129944
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/util/PublicCloneable.java,PublicCloneable,52,48,0.9230769,0,0.0
